stock_id,name,old_cash_dividend,new_cash_dividend,year,record_date,ex_dividend_date,payment_date,announcement_date,announcement_time,component_count,source,status
5520,力泰,7.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6817,溫士頓,5.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2548,華固,8.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
5209,新鼎,13.00 ,12.9458,115,,1150703,,,,1,TPEX tpex_exright_prepost,updated
6790,永豐實,3.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
5609,中菲行,5.60 ,5.6,115,,1150617,,,,1,TPEX tpex_exright_prepost,updated
8424,惠普,5.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2636,台驊,5.00 ,5,115,,115年07月15日,,,,1,TWSE TWT48U,updated
2211,長榮鋼,6.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
3005,神基,6.80 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
5403,中菲,6.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6146,耕興,12.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4104,佳醫,4.30 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2471,資通,3.31 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
7791,皇家可口,3.81 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4915,致伸,4.57 ,4.5692,115,,115年06月29日,,,,1,TWSE TWT48U,updated
9911,櫻花,5.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
9942,茂順,7.00 ,7,115,,115年07月30日,,,,1,TWSE TWT48U,updated
9930,中聯資,4.00 ,4,115,,115年06月24日,,,,1,TWSE TWT48U,updated
2597,潤弘,9.67 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4126,太醫,4.50 ,4.5,115,,1150715,,,,1,TPEX tpex_exright_prepost,updated
1731,美吾華,1.22 ,1.22,115,,115年06月30日,,,,1,TWSE TWT48U,updated
1730,花仙子,3.00 ,3,115,,115年07月03日,,,,1,TWSE TWT48U,updated
1777,生泰,4.00 ,4,115,,1150716,,,,1,TPEX tpex_exright_prepost,updated
3705,永信,3.00 ,3,115,,115年06月24日,,,,1,TWSE TWT48U,updated
3029,零壹,5.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6803,崑鼎,15.81 ,15.7846,115,,1150703,,,,1,TPEX tpex_exright_prepost,updated
9941,裕融,4.38 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
9917,中保科,5.70 ,5.7,115,,115年06月24日,,,,1,TWSE TWT48U,updated
1788,杏昌,7.00 ,7,115,,1150616,,,,1,TPEX tpex_exright_prepost,updated
3526,凡甲,16.90 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4766,南寶,18.00 ,18,115,,115年06月23日,,,,1,TWSE TWT48U,updated
2546,根基,4.80 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6951,青新-創,4.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
5306,桂盟,4.40 ,0.8349,115,,115年06月29日,,,,1,TWSE TWT48U,updated
8341,日友,4.00 ,4,115,,115年06月29日,,,,1,TWSE TWT48U,updated
5871,中租-KY,5.80 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
1702,南僑,1.60 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
1232,大統益,7.20 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
7705,三商餐飲,1.60 ,1.6,115,,115年07月06日,,,,1,TWSE TWT48U,updated
6581,鋼聯,5.30 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
3703,欣陸,1.05 ,1.05,115,,115年07月02日,,,,1,TWSE TWT48U,updated
2063,世鎧,1.20 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
2453,凌群,2.80 ,2.8,115,,115年07月09日,,,,1,TWSE TWT48U,updated
1752,南光,1.60 ,1.6,115,,115年07月02日,,,,1,TWSE TWT48U,updated
2535,達欣工,4.60 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4580,捷流閥業,4.00 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6192,巨路,5.80 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4205,中華食,3.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
1726,永記,3.75 ,3.7,115,,115年07月21日,,,,1,TWSE TWT48U,updated
4107,邦特,5.50 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
1234,黑松,1.65 ,1.65,115,,115年06月29日,,,,1,TWSE TWT48U,updated
1227,佳格,1.34 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6592,和潤,3.00 ,3,115,,115年06月30日,,,,1,TWSE TWT48U,updated
6214,精誠,6.00 ,6,115,,115年06月23日,,,,1,TWSE TWT48U,updated
2347,聯強,4.20 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6263,普萊德,7.80 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
4506,崇友,5.30 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
8999,台灣積層,1.70 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6035,悠遊卡,2.28 ,,,,,,,,0,existing prof_utf8.csv,kept_existing
6667,信紘科,11.94 ,11.7052,115,,1150623,,,,1,TPEX tpex_exright_prepost,updated
1229,聯華,1.80 ,1.8012,115,,115年07月08日,,,,1,TWSE TWT48U,updated
3402,漢科,6.00 ,6,115,,1150722,,,,1,TPEX tpex_exright_prepost,updated
3010,華立,5.30 ,5.3,115,,115年06月23日,,,,1,TWSE TWT48U,updated
